Data,Dia,Fundo inicial,Vendas dinheiro,Sangrias,Diferença,
08/02/2025, sáb.,"R$ 350,00","R$ 763,00","R$ 1.040,00","R$ 73,00",
10/02/2025, seg.,"R$ 355,00","R$ 538,00","R$ 918,00","-R$ 25,00",
21/02/2025, sex.,"R$ 400,00","R$ 357,00","R$ 795,00","-R$ 38,00",
22/02/2025, sáb.,"R$ 400,00","R$ 936,00","R$ 1.421,00","-R$ 85,00",
08/03/2025, sáb.,"R$ 350,00","R$ 216,00","R$ 591,00","-R$ 25,00",
14/03/2025, sex.,"R$ 300,00","R$ 728,00","R$ 1.060,00","-R$ 32,00",
22/03/2025, sáb.,"R$ 300,00","R$ 506,00","R$ 862,00","-R$ 56,00",
28/03/2025, sex.,"R$ 360,00","R$ 509,00","R$ 896,00","-R$ 27,00",
06/04/2025, dom.,"R$ 350,00","R$ 520,00","R$ 870,00","R$ 0,00",
11/04/2025, sex.,"R$ 350,00","R$ 498,00","R$ 860,00","-R$ 12,00",
12/04/2025, sáb.,"R$ 350,00","R$ 440,00","R$ 825,00","-R$ 35,00",
25/04/2025, sex.,"R$ 350,00","R$ 880,00","R$ 1.231,00","-R$ 1,00",
30/04/2025, qua.,"R$ 350,00","R$ 530,00","R$ 890,00","-R$ 10,00",
02/05/2025, sex.,"R$ 350,00","R$ 0,00","R$ 350,00","R$ 0,00",
09/05/2025, sex.,"R$ 350,00","R$ 778,00","R$ 1.163,00","-R$ 35,00",
10/05/2025, sáb.,"R$ 350,00","R$ 339,00","R$ 689,00","R$ 0,00",
15/05/2025, qui.,"R$ 250,00","R$ 50,00","R$ 310,00","-R$ 10,00",
16/05/2025, sex.,"R$ 350,00","R$ 694,65","R$ 1.045,70","-R$ 1,05",
23/05/2025, sex.,"R$ 350,00","R$ 320,00","R$ 658,00","R$ 12,00",
07/06/2025, sáb.,"R$ 600,00","R$ 4.537,00","R$ 5.641,50","-R$ 504,50",
13/06/2025, sex.,"R$ 350,00","R$ 15,00","R$ 365,00","R$ 0,00",
27/06/2025, sex.,"R$ 350,00","R$ 445,00","R$ 915,00","-R$ 120,00",ferinha
27/06/2025, sex.,"R$ 300,00","R$ 994,00","R$ 1.315,00","-R$ 21,00",fesquato
29/06/2025, dom.,"R$ 850,00","R$ 3.685,00","R$ 4.620,00","-R$ 85,00",
04/07/2025, sex.,"R$ 360,00","R$ 35,00","R$ 395,00","R$ 0,00",360
05/07/2025, sáb.,"R$ 350,00","R$ 40,00","R$ 389,00","R$ 1,00","diferença 1,00"
11/07/2025, sex.,"R$ 350,00","R$ 100,00","R$ 364,00","R$ 86,00","Estava sem sistema, e provavélmente algum pedido não foi lançado "
13/07/2025, dom.,"R$ 350,00",,"R$ 740,00","-R$ 390,00",Estava sem sistema e não registrou nenhuma venda. 
16/07/2025, qua.,"R$ 350,00","R$ 0,00","R$ 350,00","R$ 0,00",
17/07/2025, qui.,"R$ 350,00","R$ 10,00","R$ 360,00","R$ 0,00",
18/07/2025, sex.,"R$ 350,00","R$ 194,00","R$ 564,00","-R$ 20,00",
23/07/2025, qua.,"R$ 350,00","R$ 10,00","R$ 360,00","R$ 0,00",
24/07/2025, qui.,"R$ 350,00","R$ 31,00","R$ 381,00","R$ 0,00",
25/07/2025, sex.,"R$ 350,00","R$ 100,00","R$ 450,00","R$ 0,00",